Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET_Python,451,1709,368,7858,876.14,0.000%,7.38062,4205.50,1.79,583479.0
GET_Cplusplus,444,962,213,3772,494.86,0.000%,7.37248,2139.82,1.46,297210.0
TOTAL,895,1339,213,7858,804.79,0.000%,14.64668,6314.44,3.24,441464.0
